"crate","version","unsafe_expressions_used","unsafe_expressions_total","functions_used","functions_total","impls_used","impls_total","traits","methods"
"memchr","2.7.5","1973","2421","27","41","2","2","0/0","109/147"
"aes","0.8.4","765","1113","18","43","0","0","0/0","0/0"
"ppv-lite86","0.2.21","632","680","2","2","0","0","0/0","17/25"
"ryu","1.0.20","572","702","7","9","0","0","0/0","2/2"
"anyhow","1.0.99","464","470","16","19","3","3","0/0","12/12"
"bitcoin_hashes","0.13.0","409","409","1","1","0","0","0/0","1/1"
"zerocopy","0.8.27","403","403","5","5","40","40","23/23","39/39"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"generic-array","0.14.7","285","285","1","1","20","20","8/8","5/5"
"encode_unicode","1.0.0","223","243","0","0","0","0","0/0","11/11"
"console","0.16.0","190","275","1","1","0","0","0/0","0/0"
"console","0.16.0","190","275","1","1","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"sha2","0.10.9","178","707","8","18","0","0","0/0","0/0"
"windows-sys","0.60.2","177","8925","0","0","0","0","0/0","0/0"
"windows-sys","0.60.2","177","8925","0","0","0","0","0/0","0/0"
"windows-sys","0.60.2","177","8925","0","0","0","0","0/0","0/0"
"windows-sys","0.60.2","177","8925","0","0","0","0","0/0","0/0"
"inout","0.1.4","126","126","0","0","0","0","0/0","3/3"
