"crate","version","unsafe_expressions_used","unsafe_expressions_total","functions_used","functions_total","impls_used","impls_total"
"generic-array"," 0.14.7","1995","1995","7","7","140","140"
"memchr"," 2.7.5","1973","2421","27","41","2","2"
"sha2"," 0.10.9","1424","5656","64","144","0","0"
"aes"," 0.8.4","765","1113","18","43","0","0"
"windows-sys"," 0.60.2","708","35700","0","0","0","0"
"ppv-lite86"," 0.2.21","632","680","2","2","0","0"
"ryu"," 1.0.20","572","702","7","9","0","0"
"anyhow"," 1.0.99","464","470","16","19","3","3"
"bitcoin_hashes"," 0.13.0","409","409","1","1","0","0"
"zerocopy"," 0.8.27","403","403","5","5","40","40"
"console"," 0.16.0","380","550","2","2","0","0"
"encode_unicode"," 1.0.0","223","243","0","0","0","0"
"inout"," 0.1.4","126","126","0","0","0","0"
